Analyte,Value_ppm,Ref_Low_ppm,Ref_High_ppm,Flag,Herd,,
Se,0.222,0.2,0.7,,Ron Pope,Down Cow with Diarrhea,LIVER
Zn,66,25,125,,Ron Pope,Down Cow with Diarrhea,LIVER
Analyte,Value_ppm,Ref_Low_ppm,Ref_High_ppm,Flag,Matt Sullivan,Animal_Id,Specimen_Desc
Ca,84.8,30,200,,Matt Sullivan,CALF,LIVER
Co,0.039,0.02,0.2,,Matt Sullivan,CALF,LIVER
Cr,0.027,0.04,3.8,L,Matt Sullivan,CALF,LIVER
Cu,50,25,150,,Matt Sullivan,CALF,LIVER
Fe,88,45,220,,Matt Sullivan,CALF,LIVER
K,2690,1400,4000,,Matt Sullivan,CALF,LIVER
Mg,198,100,250,,Matt Sullivan,CALF,LIVER
Mn,1.247,1.5,5,L,Matt Sullivan,CALF,LIVER
Mo,0.407,0.2,1.4,,Matt Sullivan,CALF,LIVER
Na,2078,900,3000,,Matt Sullivan,CALF,LIVER
P,4053,2000,4000,H,Matt Sullivan,CALF,LIVER
Se,0.751,0.2,0.7,H,Matt Sullivan,CALF,LIVER
Zn,78,25,125,,Matt Sullivan,CALF,LIVER
Analyte,Value_ppm,Ref_Low_ppm,Ref_High_ppm,Flag,River Creek,Animal_Id,Specimen_Desc
Ca,89,30,200,,River Creek,NO ID,LIVER
Co,0.05,0.02,0.2,,River Creek,NO ID,LIVER
Cr,0.02,0.04,3.8,L,River Creek,NO ID,LIVER
Cu,19,25,150,L,River Creek,NO ID,LIVER
Fe,62,45,220,,River Creek,NO ID,LIVER
K,3577,1400,4000,,River Creek,NO ID,LIVER
Mg,188,100,250,,River Creek,NO ID,LIVER
Mn,1.955,1.5,5,,River Creek,NO ID,LIVER
Mo,0.585,0.2,1.4,,River Creek,NO ID,LIVER
Na,1517,900,3000,,River Creek,NO ID,LIVER
P,2433,2000,4000,,River Creek,NO ID,LIVER
Se,0.292,0.2,0.7,,River Creek,NO ID,LIVER
Zn,62,25,125,,River Creek,NO ID,LIVER
,,,,,River Creek,,
Ca,79.3,30,200,,River Creek,417L,LIVER
Co,0.03,0.02,0.2,,River Creek,417L,LIVER
Cr,0.018,0.04,3.8,L,River Creek,417L,LIVER
Cu,9,25,150,L,River Creek,417L,LIVER
Fe,92,45,220,,River Creek,417L,LIVER
K,4621,1400,4000,H,River Creek,417L,LIVER
Mg,222,100,250,,River Creek,417L,LIVER
Mn,2.495,1.5,5,,River Creek,417L,LIVER
Mo,0.537,0.2,1.4,,River Creek,417L,LIVER
Na,1204,900,3000,,River Creek,417L,LIVER
P,2645,2000,4000,,River Creek,417L,LIVER
Se,0.324,0.2,0.7,,River Creek,417L,LIVER
Zn,65,25,125,,River Creek,417L,LIVER
Analyte,Value_ppm,Ref_Low_ppm,Ref_High_ppm,Flag,Rootring Farms,Animal_Id,Specimen_Desc
Ca,49.7,30,200,,Rootring Farms,C16,Injected
Co,0.055,0.02,0.2,,Rootring Farms,C16,Injected
Cr,0.045,0.04,3.8,,Rootring Farms,C16,Injected
Cu,66,25,150,,Rootring Farms,C16,Injected
Fe,46,45,220,,Rootring Farms,C16,Injected
K,1993,1400,4000,,Rootring Farms,C16,Injected
Mg,112,100,250,,Rootring Farms,C16,Injected
Mn,1.179,1.5,5,L,Rootring Farms,C16,Injected
Mo,0.329,0.2,1.4,,Rootring Farms,C16,Injected
Na,734,900,3000,L,Rootring Farms,C16,Injected
P,2417,2000,4000,,Rootring Farms,C16,Injected
Se,0.223,0.2,0.7,,Rootring Farms,C16,Injected
Zn,60,25,125,,Rootring Farms,C16,Injected
